<TICKER>,<DATE>,<CLOSE>
TATN,18/12/08,60.2
TATN,19/12/08,59.0
TATN,20/12/08,60.0
TATN,23/12/08,60.05
TATN,24/12/08,60.67
TATN,25/12/08,57.95
TATN,26/12/08,54.78
TATN,27/12/08,53.1
TATN,30/12/08,54.2
TATN,31/12/08,56.0
TATN,01/01/09,55.26
TATN,12/01/09,55.79
TATN,13/01/09,57.42
TATN,14/01/09,57.69
TATN,15/01/09,51.99
TATN,16/01/09,49.92
TATN,17/01/09,50.5
TATN,20/01/09,49.75
TATN,21/01/09,50.77
TATN,22/01/09,53.48
TATN,23/01/09,51.5
TATN,24/01/09,50.9
TATN,27/01/09,55.09
TATN,28/01/09,53.39
TATN,29/01/09,54.3
TATN,30/01/09,57.2
TATN,31/01/09,58.99
TATN,03/02/09,60.0
TATN,04/02/09,59.5
TATN,05/02/09,58.7
TATN,06/02/09,56.56
TATN,07/02/09,60.75
TATN,10/02/09,69.0
TATN,11/02/09,70.3
TATN,12/02/09,71.5
TATN,13/02/09,70.49
TATN,14/02/09,76.09
TATN,17/02/09,75.08
TATN,18/02/09,68.31
TATN,19/02/09,65.79
TATN,20/02/09,67.28
TATN,21/02/09,64.64
TATN,25/02/09,63.64
TATN,26/02/09,63.3
TATN,27/02/09,68.93
TATN,28/02/09,66.81
TATN,03/03/09,63.5
TATN,04/03/09,63.25
TATN,05/03/09,68.3
TATN,06/03/09,69.38
TATN,07/03/09,74.18
TATN,11/03/09,86.9
TATN,12/03/09,83.84
TATN,13/03/09,80.0
TATN,14/03/09,81.18
TATN,17/03/09,82.5
TATN,18/03/09,83.96
TATN,19/03/09,82.7
TATN,20/03/09,83.63
TATN,21/03/09,92.75
TATN,24/03/09,98.8
TATN,25/03/09,95.5
TATN,26/03/09,96.43
TATN,27/03/09,94.7
TATN,28/03/09,88.9
TATN,31/03/09,80.51
TATN,01/04/09,79.8
TATN,02/04/09,80.43
TATN,03/04/09,85.55
TATN,04/04/09,87.0
TATN,07/04/09,90.25
TATN,08/04/09,93.0
TATN,09/04/09,95.02
TATN,10/04/09,99.78
TATN,11/04/09,99.03
TATN,14/04/09,94.5
TATN,15/04/09,98.0
TATN,16/04/09,95.21
TATN,17/04/09,97.99
TATN,18/04/09,100.53
TATN,21/04/09,93.35
TATN,22/04/09,92.75
TATN,23/04/09,95.0
TATN,24/04/09,97.25
TATN,25/04/09,98.46
TATN,28/04/09,97.08
TATN,29/04/09,96.15
